"CommunityArea","ca_num","pop_2000","pop_2010"
"Rogers Park",1,63484,54991
"West Ridge",2,73199,71942
"Uptown",3,63551,56362
"Lincoln Square",4,44574,39493
"North Center",5,31895,31867
"Lake View",6,94817,94368
"Lincoln Park",7,64320,64116
"Near North Side",8,72811,80484
"Edison Park",9,11259,11187
"Norwood Park",10,37669,37023
"Jefferson Park",11,25859,25448
"Forest Glen",12,18165,18508
"North Park",13,18514,17931
"Albany Park",14,57655,51542
"Portage Park",15,65340,64124
"Irving Park",16,58643,53359
"Dunning",17,42164,41932
"Montclare",18,12646,13426
"Belmont Cragin",19,78144,78743
"Hermosa",20,26908,25010
"Avondale",21,43083,39262
"Logan Square",22,82715,73595
"Humboldt Park",23,65836,56323
"West Town",24,87435,81432
"Austin",25,117527,98514
"West Garfield Park",26,23019,18001
"East Garfield Park",27,20881,20567
"Near West Side",28,46419,54881
"North Lawndale",29,41768,35912
"South Lawndale",30,91071,79288
"Lower West Side",31,44031,35769
"Loop",32,16388,29283
"Near South Side",33,9509,21390
"Armour Square",34,12032,13391
"Douglas",35,26470,18238
"Oakland",36,6110,5918
"Fuller Park",37,3420,2876
"Grand Boulevard",38,28006,21929
"Kenwood",39,18363,17841
"Washington Park",40,14146,11717
"Hyde Park",41,29920,25681
"Woodlawn",42,27086,25983
"South Shore",43,61556,49767
"Chatham",44,37275,31028
"Avalon Park",45,11147,10185
"South Chicago",46,38596,31198
"Burnside",47,3294,2916
"Calumet Heights",48,15974,13812
"Roseland",49,52723,44619
"Pullman",50,8921,7325
"South Deering",51,16990,15109
"East Side",52,23653,23042
"West Pullman",53,36649,29651
"Riverdale",54,9809,6482
"Hegewisch",55,9781,9426
"Garfield Ridge",56,36101,34513
"Archer Heights",57,12644,13393
"Brighton Park",58,44912,45368
"McKinley Park",59,15962,15612
"Bridgeport",60,33694,31977
"New City",61,51721,44377
"West Elsdon",62,15921,18109
"Gage Park",63,39193,39894
"Clearing",64,22331,23139
"West Lawn",65,29235,33355
"Chicago Lawn",66,61412,55628
"West Englewood",67,45282,35505
"Englewood",68,40222,30654
"Greater Grand Crossing",69,38619,32602
"Ashburn",70,39584,41081
"Auburn Gresham",71,55928,48743
"Beverly",72,21992,20034
"Washington Heights",73,29843,26493
"Mount Greenwood",74,18820,19093
"Morgan Park",75,25226,22544
"O'Hare",76,11956,12756
"Edgewater",77,62198,56521
