district,pop_2000,pop_2010
1,25613.00,57055.00
2,50967.00,37768.00
3,93384.00,75235.00
4,141422.00,123575.00
5,92729.00,74396.00
6,105360.00,90841.00
7,91600.00,71071.00
8,244470.00,247373.00
9,165457.00,155681.00
10,137120.00,118093.00
11,82392.00,70474.00
12,69677.00,69220.00
13,60517.00,58649.00
14,132459.00,117738.00
15,72736.00,59458.00
16,199898.00,199482.00
17,156859.00,144096.00
18,110995.00,117041.00
19,107516.00,112622.00
20,102512.00,91279.00
21,78111.00,72917.00
22,111545.00,101941.00
23,98391.00,88164.00
24,151435.00,141038.00
25,212535.00,200391.00
